"Speaker","Text","Page","speaker_id"
"Bob","Das ist ja ein Ding.","8","4"
"Peter","Demnach haben Sie sich für ihren Beruf einen Künstlernamen","8","3"
"Peter","zugelegt?","8","3"
"Mrs Summer","So ist es.","8","1205"
"Justus","Ach so.","8","2"
"Mrs Summer","Das war vor vierzehn Jahren.","8","1205"
"Peter","Und seitdem erstellen Sie tagtäglich die Horoskope für die ""Los","8","3"
"Peter","Angeles Post""?","8","3"
"Mrs Summer","Ohne Ausnahme. Allerdings wird meine Tätigkeit als Astrologin","8","1205"
"Mrs Summer","zum Ende des Quartals bei dieser Zeitung eingestellt.","8","1205"
"Bob","Ach. Haben Sie den Vertrag gekündigt?","8","4"
"Mrs Summer","Ganz recht. Die Astrologie hat mich zum Tarot geführt. Die","8","1205"
"Mrs Summer","Karten bedeuten mir mehr als die Sterne, so zu sagen.","8","1205"
"Peter","Tarot? Das Kartenspiel?","8","3"
"Mrs Summer","Für den Laien mag diese Bezeichnung zutreffen. Doch wer sich","8","1205"
"Mrs Summer","ernsthaft mit dem Tarot beschäftigt, wird feststellen, dass die","8","1205"
"Mrs Summer","Bilder und Symbole auf den Karten ein Spiegelbild unseres","9","1205"
"Mrs Summer","Lebens sind.","9","1205"
"Bob","Und was heißt das im Klartext?","9","4"
"Mrs Summer","Dass man die Verbindungen zwischen den Tarot-Symbolen und","9","1205"
"Mrs Summer","den Dingen, die im Leben geschehen, selbst herstellen muss.","9","1205"
"Mrs Summer","Die Tarotkarten offenbarten mir in regelmäßigen Abständen das","9","1205"
"Mrs Summer","Bild des Todes. Ein Skelett mit einer Sense. Doch ich habe","9","1205"
"Mrs Summer","dieses Symbol immer nur auf mich bezogen. Niemals kam mir","9","1205"
"Mrs Summer","der Gedanke, dass das Leben meines Katers bedroht in könnte.","9","1205"
"Justus","Ich für meine Person halte mich an reale Tatsachen, Madam.","9","2"
"Justus","Und deshalb wird es für uns ein Leichtes sein, den Mörder Ihres","9","2"
"Justus","Katers zu überführen. Mit an Sicherheit grenzender","9","2"
"Justus","Wahrscheinlichkeit werden wir schon in wenigen Minuten den","9","2"
"Justus","Täter - im wahrsten Sinne des Wortes - vor Augen haben!","9","2"
"Mrs Summer","Du sprichst in Rätseln, junger Mann.","9","1205"
"Justus","Auf dem gesamten Grundstück sind Überwachungskameras","9","2"
"Justus","installiert. Wenn wir einen Blick auf die Videoaufzeichnungen der","9","2"
"Justus","letzten Stunden werfen, werden wir sicher etwas","9","2"
"Justus","Aufschlussreiches zu sehen bekommen.","9","2"
"Mrs Summer","Das ist leider nicht möglich.","9","1205"
"Bob","Was?","9","4"
"Justus","Wie meinen Sie das?","9","2"
"Mrs Summer","Die gesamte Überwachungsanlage auf meinem Grundstück ist","9","1205"
"Mrs Summer","nicht echt. Die Kameras sind nur Attrappen!","9","1205"
"Justus","Wo liegt da der Witz?","9","2"
"Mrs Summer","Letzte Woche sind in der Nachbarschaft zwei ganze","9","1205"
"Mrs Summer","Straßenblöcke lahmgelegt worden. Die ""radikalen","9","1205"
"Mrs Summer","Atomstromgegner"" hatten mal wieder alle Stromleitungen","9","1205"
"Mrs Summer","zerschnitten. Was meint ihr wohl, weshalb mein Grundstück","9","1205"
"Mrs Summer","bisher von solchen Anschlägen verschont geblieben ist?","9","1205"
"Peter","Ja, dann stehen wir also praktisch wieder bei null und müssen","9","3"
"Peter","Ihnen daher die berühmte Standardfrage stellen. Haben Sie in","9","3"
"Peter","Ihrem Umfeld irgendwelche Feinde?","9","3"
"Bob","Sehr gut, Peter.","10","4"
"Mrs Summer","Du schätzt mich falsch ein, junger Mann. Ich bin eine friedvolle","10","1205"
"Mrs Summer","Person und mit meinem Ich im Einklang. Ich bin mit niemandem","10","1205"
